,first_author_country,GNN,BERT,n,n_citations,continent
0,Afghanistan,0.21802289601735816,0.8890222018297179,1,12,Asia
1,Argentina,0.4608944201152336,0.9418203336664237,70,706,South America
2,Armenia,-0.03881726091020802,0.8498817909569845,1,0,Asia
3,Australia,0.4632581684599617,0.9470734187356001,685,13534,Australia
4,Austria,0.48042620770099187,0.9548340413482057,173,4276,Europe
5,Azerbaijan,0.42227869738008267,0.8580908791636132,1,7,Asia
6,Bangladesh,0.48864488049645405,0.9077090911999284,4,5,Asia
7,Belarus,-0.40903634096250563,0.8932743571714247,4,18,Europe
8,Belgium,0.466638169688316,0.9523870110828598,520,12734,Europe
9,Benin,0.4860824624226788,0.8950869272028512,3,24,Africa
10,Bosnia and Herzegovina,0.14778645973795085,0.7509070668665444,1,4,Europe
11,Brazil,0.46996623730428894,0.9530771835957794,332,4366,South America
12,Brunei Darussalam,0.10420212230882647,0.8774313795270765,1,1,Asia
13,Bulgaria,-0.3906785543838993,0.9299781171421441,22,274,Europe
14,Canada,0.46977709130538803,0.9520325608509407,889,16779,North America
15,Central African Republic,-0.37429716083302783,0.8973029501282989,1,0,Africa
16,Chile,0.4469551367035607,0.9539264399779066,42,494,South America
17,China,0.4986237564028627,0.9521751717135841,834,11982,Asia
18,Colombia,0.43948458161459786,0.9520337369988384,45,403,South America
19,Costa Rica,0.21671791758194114,0.89488430611038,2,15,North America
20,Croatia,-0.0904541713381005,0.9379437536151167,41,545,Europe
21,Cuba,0.4032171380738163,0.9411235574360418,23,189,North America
22,Cyprus,0.3540555715815845,0.891372477648638,16,125,Asia
23,Czech Republic,0.5000644895744576,0.9506050916698101,64,518,Europe
24,Côte d'Ivoire,-0.3221228757472537,0.8841439309224964,1,50,Africa
25,Denmark,0.4768285924919624,0.9552961554283411,380,7952,Europe
26,Dominica,-0.014764103094206003,0.871014697950875,1,4,North America
27,Ecuador,0.5005581529216365,0.922612986310408,3,14,South America
28,Egypt,0.42809492151258877,0.84744588488472,7,60,Africa
29,Estonia,0.4150735791274833,0.9516089930478288,18,216,Europe
30,Ethiopia,-0.43786937503944956,0.899758748264216,2,42,Africa
31,Finland,0.4777739376812035,0.9532296418495756,275,6384,Europe
32,France,0.48739602095850965,0.95592516854134,743,21470,Europe
33,Georgia,0.06256856721001013,0.8710733351776241,2,1,Asia
34,Germany,0.48605293760705376,0.9533121943528688,1311,31452,Europe
35,Ghana,-0.12155983480244953,0.9113156699974988,3,1,Africa
