,degree
0,9
1,17
2,12
3,8
4,18
5,25
6,8
7,20
8,22
9,35
10,11
11,95
12,6
13,14
14,42
15,13
16,14
17,25
18,10
19,17
20,20
21,16
22,16
23,32
24,20
25,25
26,49
27,18
28,60
29,37
30,28
31,45
32,25
33,18
34,14
35,27
36,22
37,26
38,27
39,24
40,12
41,12
42,32
43,21
44,7
45,28
46,19
47,15
48,12
49,18
50,33
51,11
52,16
53,14
54,18
55,11
56,45
57,34
58,49
59,42
60,14
61,15
62,20
63,8
64,33
65,24
66,26
67,13
68,10
69,12
70,23
71,7
72,19
73,19
74,9
75,13
76,40
77,11
78,10
79,8
80,4
81,11
82,47
83,15
84,4
85,21
86,7
87,34
88,22
89,36
90,12
91,28
92,30
93,20
94,37
95,27
96,20
97,17
98,15
99,17
100,13
101,10
102,14
103,7
104,9
105,21
106,14
107,9
108,18
109,17
110,18
111,23
112,3
113,31
114,26
115,28
116,13
117,21
118,3
119,5
120,29
121,23
122,40
123,2
124,11
125,8
126,7
127,6
128,10
129,6
130,8
131,3
132,2
133,8
134,28
135,24
136,5
137,8
138,13
139,27
140,8
141,33
142,4
143,14
144,21
145,11
146,15
147,21
148,7
149,19
150,10
151,14
152,35
153,14
154,13
155,16
156,13
157,25
158,26
159,20
160,7
161,24
162,31
163,11
164,22
165,10
166,50
167,15
168,31
169,15
170,18
171,36
172,16
173,17
174,13
175,3
176,4
177,57
178,34
179,15
180,5
181,10
182,14
183,16
184,12
185,18
186,5
187,9
188,15
189,39
190,11
191,24
192,21
193,21
194,19
195,40
196,19
197,23
198,24
199,22
200,16
201,11
202,19
203,16
204,5
205,8
206,11
207,18
208,6
209,11
210,36
211,27
212,5
213,23
214,15
215,22
216,17
217,10
218,15
219,17
220,5
221,3
222,13
223,15
224,9
225,24
226,20
227,15
228,38
229,11
230,15
231,21
232,15
233,20
234,12
235,24
236,12
237,5
238,15
239,6
240,16
241,26
242,23
243,12
244,18
245,41
246,51
247,23
248,24
249,7
250,26
251,1
252,4
253,7
254,6
255,11
256,31
257,12
258,27
259,23
260,17
261,22
262,20
263,33
264,22
265,19
266,9
267,13
268,39
269,22
270,7
271,15
272,31
273,4
274,9
275,37
276,12
277,10
278,38
279,11
280,9
281,17
282,27
283,29
284,12
285,19
286,11
287,4
288,30
289,28
290,11
291,16
292,36
293,30
294,18
295,24
296,25
297,6
298,5
299,26
300,3
301,25
302,9
303,19
304,8
305,4
306,8
307,5
308,24
309,33
310,23
311,12
312,9
313,19
314,7
315,40
316,23
317,28
318,27
319,32
320,22
321,27
322,32
323,22
324,27
325,5
326,21
327,23
328,21
329,12
330,7
331,14
332,8
333,13
334,17
335,3
336,18
337,10
338,6
339,14
340,20
341,22
342,67
343,7
344,5
345,11
346,10
347,16
348,4
349,12
350,17
351,9
352,10
353,17
354,12
355,5
356,9
357,23
358,7
359,16
360,33
361,14
362,11
363,8
364,13
365,20
366,7
367,2
368,3
369,4
370,9
371,26
372,13
373,7
374,12
375,6
376,9
377,13
378,10
379,8
380,9
381,17
382,17
383,17
384,18
385,15
386,6
387,23
388,23
389,31
390,22
391,23
392,13
393,7
394,4
395,23
396,10
397,27
398,15
399,9
400,11
401,22
402,12
403,23
404,27
405,24
406,13
407,55
408,16
409,41
410,22
411,15
412,8
413,6
414,10
415,18
416,13
417,9
418,16
419,21
420,27
421,12
422,18
423,20
424,10
425,12
426,18
427,7
428,24
429,7
430,14
431,64
432,19
433,12
434,14
435,13
436,15
437,14
438,12
439,5
440,4
441,17
442,6
443,38
444,16
445,12
446,11
447,14
448,32
449,16
450,20
451,34
452,16
453,36
454,35
455,18
456,3
457,8
458,11
459,11
460,9
461,3
462,9
463,16
464,20
465,14
466,8
467,15
468,21
469,18
470,13
471,18
472,13
473,11
474,14
475,8
476,8
477,14
478,15
479,29
480,18
481,11
482,13
483,25
484,21
485,9
486,17
487,7
488,14
489,27
490,16
491,17
492,13
493,20
494,5
495,31
496,23
497,21
498,14
499,14
500,22
501,15
502,8
503,2
504,14
505,4
506,17
507,7
508,4
509,7
510,9
511,12
512,3
513,1
514,40
515,38
516,13
517,7
518,17
519,14
520,19
521,20
522,11
523,18
524,24
525,14
526,9
527,24
528,11
529,16
530,14
531,14
532,18
533,9
534,14
535,18
536,49
537,4
538,17
539,30
540,14
541,22
542,24
543,7
544,9
545,16
546,22
547,13
548,15
549,22
550,13
551,41
552,12
553,10
554,6
555,1
556,18
557,14
558,3
559,6
560,12
561,8
562,14
563,24
564,10
565,17
566,15
567,19
568,43
569,12
570,22
571,40
572,3
573,28
574,9
575,21
576,7
577,10
578,11
579,17
580,21
581,6
582,14
583,15
584,15
585,5
586,13
587,16
588,30
589,14
590,6
591,23
592,6
593,11
