publicationName,field,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20
british journal for the history of science,History and Philosophy,0.01908521103003048,0.03633677350748214,0.03024166691662701,0.011472288658123695,0.09211274740064955,0.15152653213231151,0.03024166691662701,0.0501296651731137,0.010170584495825138,0.014092872778225112,0.010859714305893045,0.020389388055989298,0.005435711352178895,0.026103100739367047,0.04962686906469192,0.03853197594192061,0.04077520652079667,0.03285556427057023,0.06893406897721538,0.02087700017120816
isis,History and Philosophy,0.012701631059445561,0.030444929331145065,0.04565009829946999,0.012258078403125568,0.10047864981744806,0.1555481365179368,0.04565009829946999,0.05019283903359315,0.008938804276977318,0.012148515180176832,0.014031874637413075,0.02710179477595964,0.0047847984573511524,0.03991897344759371,0.04752342833994476,0.04853193537976038,0.03566461186356975,0.023272500633614888,0.06537779609064436,0.018109579501457966
journal of informetrics,Library and Information Sciences,0.02822038844807917,0.06962329692774948,0.15620380306877685,0.09322037802730256,0.03071477703046163,0.0701271787672568,0.15620380306877685,0.015172162250994686,0.16863790581566598,0.01809078062744314,0.027764663686096796,0.08809399051808352,0.13455290980498777,0.02380079103512648,0.009741475052458877,0.014338756548119832,0.017317882318774968,0.007672793686932701,0.008265720486630605,0.008457949170212234
minerva,"Education, Communication and Anthropology",0.1870027170147897,0.09139307736626577,0.018291319214542003,0.12156323932133,0.09431857430458444,0.01782345258396219,0.018291319214542003,0.09600243544047038,0.022122491455570627,0.01980452441130254,0.05178133492004161,0.018478915555221277,0.010240773545381391,0.052865877738742996,0.026192731553937223,0.03328998801234127,0.024153774206042047,0.025127008955030228,0.011586612687026484,0.03972640531452972
public understanding of science,"Education, Communication and Anthropology",0.08684840791265401,0.14185904489164686,0.03085251060108433,0.08603738843254388,0.079712029621409,0.01911037522919992,0.03085251060108433,0.14020017040415797,0.00867032967747786,0.007692037328187667,0.02389267527634739,0.01692257394816455,0.009452906822376046,0.10739331142275808,0.024074853220007703,0.0414739907692503,0.029175465892203874,0.0386893802488625,0.021830363257818414,0.04303422230752212
research evaluation,"Education, Communication and Anthropology",0.169653712521264,0.07872519033841836,0.11297729681409277,0.1303632919184944,0.03680550823084144,0.0206354412002158,0.11297729681409277,0.1019132730786122,0.10898560167252033,0.0293705338295237,0.05094460366945371,0.024034222462080403,0.036188357112505454,0.02437017902203061,0.007373079329876625,0.01249046558834304,0.009532199802737699,0.007814228581902921,0.0051599905767102045,0.0180172199000743
research policy,Management,0.3239111069127335,0.030101779157375993,0.02781158982967559,0.08153547592406271,0.035393262431433044,0.024228406695400384,0.02781158982967559,0.04771436969481137,0.0296707242445422,0.17357856981661274,0.06414770983705713,0.03255761035561426,0.009523354559813187,0.011463987403076666,0.012624218060998286,0.03621618640579454,0.014693682260991534,0.009855276326516588,0.005177600874009879,0.012180270307368556
science and education,History and Philosophy,0.06960133058804706,0.07980516364611209,0.02551192254556444,0.03213230455513361,0.09829069524668159,0.07583852826701087,0.02551192254556444,0.04565524172594476,0.010271747948011455,0.021437889803408085,0.032334624253698825,0.014462789189947277,0.01268954778250062,0.05122160820758869,0.11443700375438061,0.029740374977786768,0.05407467017225679,0.03940590725185116,0.03360118814698198,0.024736013247972276
science and public policy,Management,0.3286073684936035,0.059549627175746855,0.026853243284806358,0.07554597733828008,0.05075263439879393,0.015984844511757485,0.026853243284806358,0.11383126415819135,0.023865919477561937,0.04726013042424954,0.06588497380051613,0.01615614117994428,0.007189587150988429,0.017510534619318004,0.014193002563268813,0.024729298785479636,0.016409317613070126,0.02248672570634999,0.00895676669212933,0.03719074021815991
science and technology studies,History and Philosophy,0.2368192694771737,0.08316820778062119,0.02877122182161975,0.03492876026380988,0.0643496080386004,0.02922911154714517,0.02877122182161975,0.10167011789169787,0.00921329200778025,0.008386126308150011,0.04701728885961391,0.01492694697672435,0.004318364195903185,0.054096635045826444,0.04695578734474073,0.04823905608923534,0.030225037949533164,0.04983520246124401,0.016723734361463124,0.03554846894611065
